City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,kulhudhuffushi,6.6221,73.07,82.71,69,94,9.4,MV,1732663825
245,paraiso,9.8383,-83.8656,68.41,99,93,3.85,CR,1732663825
246,remire-montjoly,4.9167,-52.2667,82.44,74,0,5.75,GF,1732663825
247,lamu,-2.2717,40.902,79.41,86,23,7.16,KE,1732663825
248,labrador city,52.9463,-66.9114,27.18,96,100,9.22,CA,1732663813
249,chubek,37.6137,69.7061,52.99,34,10,3.89,TJ,1732663825
250,baruun-urt,46.6806,113.2792,8.42,70,29,13.51,MN,1732663825
251,keflavik,64.0049,-22.5624,39.63,87,75,16.11,IS,1732663825
252,nabire,-3.3667,135.4833,85.48,67,79,1.97,ID,1732663825
253,kailua-kona,19.6406,-155.9956,84.56,63,20,18.41,US,1732663825
254,dubbo,-32.25,148.6167,84.33,45,20,14.97,AU,1732663825
255,bamboo flat,11.7,92.7167,80.69,83,75,2.3,IN,1732663825
256,dunedin,-45.8742,170.5036,53.8,96,100,5.99,NZ,1732663825
257,kristinestad,62.2743,21.376,41.41,95,100,7.74,FI,1732663826
258,sotouboua,8.5667,0.9833,72.14,28,1,2.37,TG,1732663826
259,ujae,8.9322,165.7642,79.63,87,100,18.57,MH,1732663826
260,camapua,-19.5314,-54.0439,80.02,59,65,3.24,BR,1732663826
261,buala,-8.145,159.5921,82.06,81,99,9.53,SB,1732663826
262,bhopal,23.2667,77.4,60.44,40,74,3.04,IN,1732663684
263,grand falls-windsor,48.9332,-55.6649,38.5,94,100,3.0,CA,1732663826
264,tsiombe,-25.3,45.4833,75.76,75,74,4.94,MG,1732663826
265,villa rica,33.7321,-84.9191,51.62,88,10,4.83,US,1732663826
266,karratha,-20.7377,116.8463,83.66,51,90,4.85,AU,1732663826
267,taulaga,-11.0553,-171.0883,82.81,77,56,10.67,AS,1732663827
268,vanino,49.0869,140.2543,32.18,100,100,13.2,RU,1732663827
269,qaqortoq,60.7167,-46.0333,13.78,76,10,4.54,GL,1732663827
270,northam,51.0333,-4.2167,44.62,94,100,16.46,GB,1732663827
271,mount isa,-20.7333,139.5,80.37,74,75,3.44,AU,1732663827
272,adzope,6.1069,-3.8619,73.4,94,40,2.51,CI,1732663827
273,brookings,44.3114,-96.7984,24.19,73,0,11.5,US,1732663827
274,palikir - national government center,6.9248,158.1611,86.85,74,75,16.11,FM,1732663827
275,sur,22.5667,59.5289,75.43,69,0,7.2,OM,1732663827
276,port augusta,-32.5,137.7667,72.19,42,14,19.13,AU,1732663827
277,aripuana,-9.1667,-60.6333,74.08,99,96,4.7,BR,1732663828
278,sun city west,33.662,-112.3413,76.84,29,75,4.61,US,1732663828
279,saint-philippe,-21.3585,55.7679,74.1,86,54,12.53,RE,1732663828
280,kirensk,57.7853,108.1119,8.69,96,100,6.04,RU,1732663828
281,tabuk,17.4189,121.4443,75.63,88,79,2.62,PH,1732663828
282,vikhorevka,56.1201,101.1636,18.79,92,100,7.02,RU,1732663828
283,burutu,5.3509,5.5076,79.7,80,83,5.28,NG,1732663889
284,chinchilla,-26.75,150.6333,78.03,69,79,3.0,AU,1732663889
285,nova vicosa,-17.8919,-39.3719,73.83,71,88,6.71,BR,1732663889
286,fisterra,42.9049,-9.2629,60.26,86,100,23.78,ES,1732663889
287,nagqu,31.5,92.0,15.48,30,52,3.06,CN,1732663890
288,lewistown,40.5992,-77.5714,45.16,61,0,6.91,US,1732663890
289,amga,60.8953,131.9608,-24.97,100,61,1.12,RU,1732663890
290,ar ruways,24.1103,52.7306,76.32,57,15,8.34,AE,1732663890
291,tezu,27.9167,96.1667,60.39,47,82,4.27,IN,1732663890
292,tamalous,36.8376,6.6402,60.64,59,95,2.59,DZ,1732663890
293,kabansk,52.0486,106.6528,14.0,92,95,4.43,RU,1732663890
294,okha,53.5739,142.9478,29.55,78,100,16.89,RU,1732663891
295,preobrazheniye,42.9019,133.9064,36.36,74,75,9.73,RU,1732663891
296,nar'yan-mar,67.6713,53.087,36.61,98,100,25.93,RU,1732663891
297,bluefields,12.0137,-83.7635,80.67,89,40,4.61,NI,1732663891
298,hanceville,34.0607,-86.7675,53.2,59,9,3.74,US,1732663891
299,madalena,41.2162,-8.3345,53.55,81,88,3.06,PT,1732663891
300,shingu,33.7333,135.9833,54.28,78,85,6.35,JP,1732663891
301,bamyan,34.75,67.25,26.06,57,0,1.88,AF,1732663891
302,dudinka,69.4058,86.1778,29.91,86,99,18.19,RU,1732663891
303,ballina,-28.8667,153.5667,78.3,74,19,13.62,AU,1732663891
304,lagoa,39.05,-27.9833,66.83,80,97,23.89,PT,1732663891
305,tymovskoye,50.8456,142.655,21.87,86,100,3.89,RU,1732663892
306,tazacorte,28.629,-17.9293,67.17,79,100,9.22,ES,1732663892
307,wolgast,54.05,13.7667,41.86,100,86,11.92,DE,1732663892
308,kudahuvadhoo,2.6708,72.8944,82.11,77,100,11.86,MV,1732663892
309,gejiu,23.306,103.1635,49.01,94,100,3.36,CN,1732663892
310,salalah,17.0151,54.0924,78.89,73,20,2.3,OM,1732663892
311,khorixas,-20.3667,14.9667,60.89,53,0,6.53,NA,1732663893
312,lompoc,34.6391,-120.4579,61.7,90,100,6.91,US,1732663893
313,fort st. john,56.2499,-120.8529,12.09,73,20,5.75,CA,1732663893
314,kruisfontein,-34.0033,24.7314,58.77,73,70,22.79,ZA,1732663893
315,kapuskasing,49.4169,-82.4331,30.29,100,100,10.36,CA,1732663893
316,ceeldheer,3.8488,47.1806,79.36,84,30,9.82,SO,1732663893
317,moissala,8.3404,17.7663,69.26,32,61,4.9,TD,1732663893
318,nurota,40.5614,65.6886,49.26,44,3,3.09,UZ,1732663893
319,tabou,4.423,-7.3528,77.97,85,13,7.29,CI,1732663894
320,broken hill,-31.95,141.4333,75.2,47,16,18.88,AU,1732663894
321,tutoia,-2.7619,-42.2744,80.19,82,5,13.94,BR,1732663894
